Date,Cash,Shares,Portfolio Value,Portfolio Return
2023-04-11,92907.6173743399,0.0,92907.6173743399,0.0
2023-04-12,92907.6173743399,0.0,92907.6173743399,0.0
2023-04-13,92907.6173743399,0.0,92907.6173743399,0.0
2023-04-17,92907.6173743399,0.0,92907.6173743399,0.0
2023-04-18,92907.6173743399,0.0,92907.6173743399,0.0
2023-04-19,92907.6173743399,0.0,92907.6173743399,0.0
2023-04-20,92907.6173743399,0.0,92907.6173743399,0.0
2023-04-21,92907.6173743399,0.0,92907.6173743399,0.0
2023-04-24,92907.6173743399,0.0,92907.6173743399,0.0
2023-04-25,92907.6173743399,0.0,92907.6173743399,0.0
2023-04-26,92907.6173743399,0.0,92907.6173743399,0.0
2023-04-27,92907.6173743399,0.0,92907.6173743399,0.0
2023-04-28,380.3392808455246,84.0,92768.98820662677,-0.0014921184250648034
2023-05-02,380.3392808455246,84.0,93553.36076522052,0.008455116022680897
2023-05-03,380.3392808455246,84.0,92753.72014022052,-0.008547428103697574
2023-05-04,380.3392808455246,84.0,93818.62931990802,0.01148104009281381
2023-05-05,380.3392808455246,84.0,93580.07219100177,-0.002542747966321368
2023-05-08,380.3392808455246,84.0,94730.86808943927,0.012297446149524882
2023-05-09,380.3392808455246,84.0,95022.86857772052,0.00308242175090756
2023-05-10,380.3392808455246,84.0,95673.66349959552,0.006848824200068382
2023-05-11,380.3392808455246,84.0,95051.50773787677,-0.00650289472526977
2023-05-12,380.3392808455246,84.0,95206.07512068927,0.0016261434088846727
2023-05-15,380.3392808455246,84.0,95393.11662459552,0.0019645963103629427
2023-05-16,380.3392808455246,84.0,94040.01115584552,-0.014184518932062296
2023-05-17,380.3392808455246,84.0,93486.55656600177,-0.005885309700001562
2023-05-18,380.3392808455246,84.0,93286.16447615802,-0.002143539105564085
2023-05-19,380.3392808455246,84.0,93587.70109725177,0.0032323830954676946
2023-05-22,380.3392808455246,84.0,94085.80510115802,0.0053223233188370855
2023-05-23,380.3392808455246,84.0,94068.62980818927,-0.00018254924800065186
2023-05-24,380.3392808455246,84.0,93522.81437850177,-0.005802310832000446
2023-05-25,380.3392808455246,84.0,93511.37101912677,-0.0001223590142260811
2023-05-26,380.3392808455246,84.0,96051.54045272052,0.027164283935845468
2023-05-29,380.3392808455246,84.0,96589.70646834552,0.005602887919219812
2023-05-30,380.3392808455246,84.0,96564.91252303302,-0.00025669345336110094
2023-05-31,380.3392808455246,84.0,94654.52775740802,-0.01978342563267299
2023-06-01,380.3392808455246,84.0,94400.71281600177,-0.002681487588810927
2023-06-02,380.3392808455246,84.0,94093.45451522052,-0.0032548303038784088
2023-06-05,380.3392808455246,84.0,94935.08488631427,0.00894462187013878
2023-06-06,380.3392808455246,84.0,95015.23967147052,0.0008443115129905809
2023-06-07,380.3392808455246,84.0,95732.81828475177,0.007552247573782811
2023-06-08,380.3392808455246,84.0,95790.06584334552,0.0005979930354027552
2023-06-09,380.3392808455246,84.0,95114.48723006427,-0.0070527001660702915
2023-06-12,380.3392808455246,84.0,95198.44621443927,0.0008827149976839976
2023-06-13,380.3392808455246,84.0,96599.26310897052,0.01471470334059699
2023-06-14,380.3392808455246,84.0,97782.51262068927,0.012249053187745051
2023-06-15,380.3392808455246,84.0,97809.22404647052,0.00027317180818275943
2023-06-16,380.3392808455246,84.0,98757.73088240802,0.009697519279846745
2023-06-19,380.3392808455246,84.0,97780.60539412677,-0.009894167064700254
2023-06-20,380.3392808455246,84.0,97982.89445662677,0.0020688055845494713
2023-06-21,380.3392808455246,84.0,98257.71965193927,0.0028048283002515273
2023-06-22,380.3392808455246,84.0,97158.42912459552,-0.01118782861273182
2023-06-23,380.3392808455246,84.0,96366.42765975177,-0.008151649547854412
2023-06-26,380.3392808455246,84.0,95633.58098006427,-0.007604792431187946
2023-06-27,380.3392808455246,84.0,95667.93156600177,0.00035918958158287495
2023-06-28,380.3392808455246,84.0,96929.42863631427,0.013186206178631421
2023-06-30,380.3392808455246,84.0,97721.44035506427,0.00817101400361775
2023-07-03,380.3392808455246,84.0,100219.62004256427,0.02556429457469145
2023-07-04,380.3392808455246,84.0,99190.94816756427,-0.010264176561067706
2023-07-05,380.3392808455246,84.0,99028.73137068927,-0.0016353991959121572
2023-07-06,380.3392808455246,84.0,101099.41545272052,0.020909932434458378
2023-07-07,380.3392808455246,84.0,100902.83781600177,-0.0019443993403768234
2023-07-10,380.3392808455246,84.0,104775.11271834552,0.0383762735137827
2023-07-11,380.3392808455246,84.0,105906.82609725177,0.010801356825532515
2023-07-12,380.3392808455246,84.0,106023.23869490802,0.0010991982476120654
2023-07-13,380.3392808455246,84.0,105078.55656600177,-0.008910142158783385
2023-07-14,380.3392808455246,84.0,104990.77287459552,-0.000835410137663195
2023-07-17,380.3392808455246,84.0,107128.25090193927,0.020358722665055673
2023-07-18,380.3392808455246,84.0,108034.76799178302,0.008461979750547188
2023-07-19,380.3392808455246,84.0,108851.58390975177,0.007560676374395392
2023-07-20,380.3392808455246,84.0,108720.22111678302,-0.001206806444614128
2023-07-21,380.3392808455246,84.0,105366.45549178302,-0.03084767111904152
2023-07-24,380.3392808455246,84.0,103242.95353865802,-0.020153491385980993
2023-07-25,380.3392808455246,84.0,103176.79533553302,-0.0006408011477532227
2023-07-26,380.3392808455246,84.0,104847.46428084552,0.01619229343070261
2023-07-27,380.3392808455246,84.0,103875.67082381427,-0.009268640531240657
2023-07-28,380.3392808455246,84.0,104915.71428084552,0.010012387393341537
2023-07-31,380.3392808455246,84.0,105800.66740584552,0.008434895869184
2023-08-01,380.3392808455246,84.0,104309.87248397052,-0.014090600356578054
2023-08-02,380.3392808455246,84.0,103199.54875350177,-0.010644474046686003
2023-08-03,380.3392808455246,84.0,102767.38762068927,-0.004187626186668125
2023-08-04,380.3392808455246,84.0,104158.92473006427,0.013540648853614057
2023-08-07,380.3392808455246,84.0,104750.29826522052,0.005677607912032867
2023-08-08,380.3392808455246,84.0,104121.71330428302,-0.006000793996270737
2023-08-09,380.3392808455246,84.0,104806.11027693927,0.0065730475511498465
2023-08-10,380.3392808455246,84.0,105271.35051131427,0.004439056398006347
2023-08-11,380.3392808455246,84.0,105713.81681990802,0.004203102804748227
2023-08-14,380.3392808455246,84.0,106958.56926131427,0.011774737483244868
2023-08-16,380.3392808455246,84.0,106871.72892928302,-0.0008119062608166194
2023-08-17,380.3392808455246,84.0,105335.43742537677,-0.01437509731804576
2023-08-18,380.3392808455246,84.0,106112.88859725177,0.007380718121817065
2023-08-21,380.3392808455246,84.0,104959.19084334552,-0.010872362152773651
2023-08-22,380.3392808455246,84.0,104934.28410506427,-0.0002372992596563206
2023-08-23,380.3392808455246,84.0,105050.50187850177,0.0011075291019391198
2023-08-24,380.3392808455246,84.0,103290.91105818927,-0.01674995158374004
2023-08-25,380.3392808455246,84.0,102815.74504256427,-0.00460026938243685
2023-08-28,380.3392808455246,84.0,101794.85588240802,-0.00992930761464228
2023-08-29,380.3392808455246,84.0,100823.76994490802,-0.00953963664550772
2023-08-30,380.3392808455246,84.0,100728.31633162677,-0.0009467371963318705
2023-08-31,380.3392808455246,84.0,100269.75139022052,-0.004552492865030344
2023-09-01,380.3392808455246,84.0,100504.21721053302,0.0023383504702232383
2023-09-04,380.3392808455246,84.0,100423.28312850177,-0.0008052804576519357
2023-09-05,380.3392808455246,84.0,100958.64982772052,0.00533110133965331
2023-09-06,101019.14568240778,0.0,101019.14568240778,0.0005992141811572704
2023-09-07,101019.14568240778,0.0,101019.14568240778,0.0
2023-09-08,101019.14568240778,0.0,101019.14568240778,0.0
2023-09-11,101019.14568240778,0.0,101019.14568240778,0.0
2023-09-12,101019.14568240778,0.0,101019.14568240778,0.0
2023-09-13,101019.14568240778,0.0,101019.14568240778,0.0
2023-09-14,101019.14568240778,0.0,101019.14568240778,0.0
2023-09-15,101019.14568240778,0.0,101019.14568240778,0.0
2023-09-18,101019.14568240778,0.0,101019.14568240778,0.0
2023-09-20,101019.14568240778,0.0,101019.14568240778,0.0
2023-09-21,101019.14568240778,0.0,101019.14568240778,0.0
2023-09-22,101019.14568240778,0.0,101019.14568240778,0.0
2023-09-25,101019.14568240778,0.0,101019.14568240778,0.0
2023-09-26,101019.14568240778,0.0,101019.14568240778,0.0
2023-09-27,101019.14568240778,0.0,101019.14568240778,0.0
2023-09-28,101019.14568240778,0.0,101019.14568240778,0.0
2023-09-29,101019.14568240778,0.0,101019.14568240778,0.0
